,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
000015_上证红利,1863.982,2096.245,2261.018,2568.694,3418.479,3394.943,3214.791,3655.596,4723.381,4856.375,4948.942,4095.953,4689.164,3926.452,4222.612,2925.377,3408.145,3119.54,2200.273,2328.201,1844.166,1803.989,1353.262,1548.45,1508.471,1659.918,1741.693,2029.438,2147.816,2217.74,2387.141,3053.496,2244.888,2406.725,2577.007,2799.627,2777.194,2452.028,2572.387,2614.53,2334.995,2118.073,1942.972,2208.252,2121.579,2168.036,2445.352,2202.151,2224.388,2196.315,2304.893,2359.211,2337.633,2184.324,2164.038,2090.374,2006.304,1885.611,1968.134,1892.531,1756.586,1860.072,1967.017,1885.715,1991.321,1924.175,1782.183,1728.291,1652.803,1670.344,1690.461,1600.252,1908.274,2155.507,2038.96,1902.768,1886.929,1970.071,1655.907,1643.499,1709.806,1777.294,1763.057,1789.029,1674.779,1618.995,1648.47,1627.019,1625.372,1616.386,1619.436,1725.094,1743.595,1844.01,1897.33,2110.156,2654.749,2407.033,2536.029,2997.002,3545.564,3755.241,3290.2802,3021.0082,2579.797,2501.8058,2646.7998,2726.4206,2605.6489,2192.9512,2229.0839,2421.6932,2438.4665,2373.9534,2340.3559,2429.4351,2517.011,2516.4826,2571.0738,2728.0704,2596.3934,2649.0895,2725.2886,2779.5981,2695.609,2794.776,2847.3792,2919.9367,2906.2502,2947.1563,2966.6721,2979.6172,3039.24,3211.9734,3050.0732,2895.9609,2819.4488,2852.9537,2565.3734,2637.7884,2572.1321,2606.0459,2518.5118,2548.2341,2438.4806,2606.2923,2840.677,3001.4717,2743.4583,2673.7419,2766.7079,2670.1015,2648.0993,2636.0786,2658.8936,2618.6839,2781.7144,2429.5522,2636.954,2379.588,2447.7081,2409.3278,2427.7045,2609.5176,2645.8878,2575.2059,2558.9908,2789.8163,2593.4162,2504.4403,2673.5864,2764.8029,2810.7062,2899.5828,2868.524,2691.411,3010.3874,2969.3898,2749.3359,2724.3225,2837.4245,2794.5542,2896.6656,3025.7796,2842.3333,2852.6916,2886.2391,2734.5575,2805.5928,2782.2828,2588.4571,2810.9833,2737.6778,2813.4441,2920.7147,2918.4688,3133.2753,2958.4274,2895.2252,2957.3435
000052_上证50基本,1729.476,1926.021,1991.381,2260.166,2771.328,2814.292,2755.272,3034.249,3970.385,4099.092,4317.69,3683.436,4147.14,3487.994,3599.446,2670.994,3073.681,2804.297,2036.387,2160.328,1832.386,1699.973,1315.529,1448.428,1435.161,1545.933,1594.276,1855.283,1970.544,2080.865,2402.452,2866.024,2086.531,2276.572,2407.81,2479.394,2523.502,2211.925,2315.324,2364.199,2103.217,1899.739,1800.423,2016.138,1903.623,1951.142,2176.486,1926.343,1960.285,1971.782,2011.674,2088.112,2093.304,1967.546,1933.497,1850.231,1781.843,1648.691,1774.766,1697.238,1606.963,1715.924,1808.672,1711.224,1829.613,1756.95,1660.512,1599.097,1537.418,1554.943,1581.628,1519.319,1848.403,2026.848,1921.426,1769.529,1755.051,1822.901,1524.373,1519.88,1571.992,1641.905,1635.36,1673.416,1559.029,1475.163,1466.292,1485.066,1501.505,1503.227,1503.57,1630.354,1604.758,1650.6,1677.77,1941.744,2720.812,2369.584,2508.345,2810.568,3385.013,3279.461,2887.191,2654.2694,2433.1386,2379.2506,2447.2446,2513.9299,2455.4743,2121.9952,2162.1478,2355.2638,2346.961,2323.6068,2306.3847,2338.6501,2420.8161,2404.0344,2490.8903,2738.7284,2603.4508,2644.7172,2688.3549,2707.1356,2648.6279,2837.1319,2859.1481,3022.4645,3026.0858,2997.9839,3067.7626,3116.6388,3152.3477,3456.8526,3167.8396,2975.604,2933.2763,2893.5138,2601.1853,2744.7723,2738.1943,2772.9973,2785.4225,2786.4407,2564.5129,2804.6798,3107.1393,3117.399,3003.3472,2924.9863,3123.846,3013.5557,2935.786,2963.4061,3029.1046,2940.8854,3145.6647,2740.6868,2923.3864,2683.9719,2778.443,2734.1085,2745.2754,2861.1263,2911.4018,2856.6007,2887.1303,3199.029,3021.8456,3076.9428,3175.5729,3087.8066,2962.7965,3034.1167,2908.6977,2620.8101,2724.0618,2750.9742,2708.152,2640.1848,2743.6554,2769.6193,2751.8112,2678.021,2594.5119,2551.2414,2649.1662,2416.2766,2431.1403,2331.246,2161.2075,2438.7924,2436.3417,2557.0348,2546.5438,2473.8287,2655.785,2462.9157,2489.6245,2584.1434
000053_上证180基本,5037.2,5771.104,6178.839,7119.72,9253.095,9269.181,8954.422,9969.98,12953.774,13512.339,13521.35,11682.509,13478.905,11408.104,12115.401,8878.445,10044.924,9211.045,6710.73,7156.366,5818.715,5478.138,4260.29,4818.401,4843.998,5311.324,5543.182,6516.217,6936.402,7303.706,8222.568,9875.856,7263.45,7923.287,8412.626,8862.39,8872.18,7890.266,8300.659,8447.259,7528.298,6800.618,6353.284,7215.357,6929.611,7178.225,8125.609,7237.476,7394.28,7385.056,7627.661,7839.978,7787.448,7268.585,7231.765,6937.803,6597.325,6082.554,6507.791,6208.848,5742.939,6111.264,6517.881,6158.453,6578.799,6366.11,5974.459,5744.521,5482.718,5555.867,5656.089,5400.913,6472.336,7001.499,6708.158,6234.789,6165.611,6441.268,5416.522,5472.248,5653.394,5923.35,5884.013,6017.735,5654.632,5362.077,5340.016,5374.812,5382.364,5392.834,5407.433,5858.432,5840.381,6105.52,6306.86,7233.797,10051.33,8838.624,9414.483,10762.87,13262.93,13082.28,11508.857,10501.1009,9487.6099,9255.2168,9546.0886,9793.6306,9481.3579,8077.795,8250.3955,8989.8935,8956.9409,8820.7251,8735.9801,8932.0816,9214.4511,9155.7805,9444.6927,10311.9999,9802.9875,9999.7816,10220.3662,10290.9064,10046.0392,10541.8717,10729.3181,11275.0122,11334.4937,11236.2327,11433.8353,11574.7322,11670.2302,12554.2966,11626.881,11026.7693,10821.9592,10707.3146,9648.0494,10046.8668,9911.6818,9990.7302,9920.0419,9985.3884,9249.1561,9997.2976,11221.0387,11467.3576,10832.5626,10579.0404,11232.0772,10814.1546,10580.7953,10611.4347,10793.2595,10518.2923,11267.747,9825.3077,10566.1281,9653.6104,9952.1535,9825.0114,9954.419,10586.2185,10795.412,10523.2213,10570.8292,11670.131,11096.293,11255.4676,11658.4631,11483.726,11144.5997,11368.0758,10978.2634,10193.5288,10896.1548,10916.5633,10731.9856,10466.4658,10871.744,11011.5515,10924.4255,10650.5447,10334.4738,10181.0326,10517.2495,9722.5105,9750.2043,9305.6333,8840.3673,9843.9545,9777.1246,10246.8825,10306.4046,10175.3914,11003.5419,10251.5799,10345.8644,10726.6056
000128_上证380基本,1516.439,1926.465,2189.509,2693.792,3904.857,3651.451,3314.86,3729.161,4578.784,4690.165,4113.233,3892.721,4810.339,4219.272,4890.805,3489.912,3829.521,3630.996,2659.825,2926.161,2244.565,2096.806,1577.288,1955.01,2024.418,2318.718,2503.879,2957.101,3199.844,3321.238,3473.959,4080.775,3294.153,3620.811,3992.213,4534.673,4529.103,4368.425,4746.801,4824.259,4444.15,3971.05,3570.506,4227.707,4429.065,4678.322,5116.445,4903.708,4811.543,4647.992,5093.692,5071.406,5066.577,4623.684,4699.532,4691.013,4400.239,3921.182,4102.83,3956.96,3401.661,3508.429,3904.197,3701.992,3935.767,3893.943,3642.646,3391.117,3307.55,3281.967,3323.716,2935.826,3435.302,3652.084,3736.657,3568.239,3414.276,3761.072,3195.242,3301.043,3595.322,3817.879,3705.066,3770.995,3757.167,3673.944,3800.495,3731.308,3673.392,3645.394,3694.647,3992.467,4157.168,4698.56,4955.09,5307.06,6221.286,5972.747,6564.136,7867.746,9382.779,10861.66,8947.7032,7631.2254,6652.6414,6829.0367,7293.7064,7584.2474,7156.0842,5672.6191,5874.9073,6472.4873,6506.9579,6197.3333,6281.1799,6454.6528,6749.3907,6795.8741,6930.9219,7172.4018,6943.8465,6926.2339,7219.0104,7317.2479,6995.5313,6422.5721,6922.2661,7160.0169,7332.6504,7438.8025,7251.6332,7049.4427,7160.4627,6856.8669,6859.522,6776.1608,6500.4115,6566.7427,5853.515,5946.4929,5590.9884,5503.741,5121.2822,5394.7036,5006.0628,5174.094,5993.9617,6713.9787,5865.2585,5791.1743,6004.7483,5743.1823,5742.6716,5645.4302,5665.4652,5549.7921,5997.1097,5246.6034,5850.6827,5408.3682,5651.0774,5813.2721,5966.5945,6782.4163,6802.0256,6430.3948,6236.5673,6647.5832,6448.2857,6236.0111,6589.6886,6680.6159,6723.5252,6956.2,6896.3838,6806.8617,7468.3835,7611.1009,7252.2489,7330.2507,7688.19,7361.6772,7561.7781,7584.8198,7164.1564,7384.1312,7548.0137,7349.8047,7286.4965,6922.5733,6951.5098,7512.2428,7250.6036,7591.8491,7763.4751,7774.52,7938.7164,7614.6687,7542.0458,7793.8206
000129_上证180波动,4256.082,5086.89,5527.748,6475.195,8833.242,8892.378,8501.852,9417.0,12031.889,12775.508,12186.715,10899.213,12892.558,11123.306,12027.83,8998.387,9859.565,8990.239,6766.297,7344.043,5985.262,5610.957,4449.109,5049.811,5136.482,5667.261,5960.863,7017.795,7567.767,7819.151,8441.025,9893.021,7783.597,8400.213,8897.931,9543.52,9437.293,8833.852,9272.824,9450.603,8464.484,7621.269,7038.523,8018.045,7901.616,8242.594,9056.154,8393.008,8417.932,8445.525,8827.548,8916.478,8867.55,8284.668,8279.038,7962.816,7459.468,6854.098,7348.513,6966.064,6241.33,6572.51,7108.469,6682.298,7199.119,7049.125,6572.767,6313.941,6056.599,6105.973,6197.76,5837.109,6778.005,7262.245,7118.359,6773.129,6636.669,7012.376,6057.623,6170.556,6468.135,6913.78,6789.995,6943.912,6683.717,6362.595,6391.628,6325.755,6204.831,6227.377,6274.342,6814.483,6920.0,7373.67,7626.39,8769.812,11661.38,10660.01,11400.12,13073.13,15889.19,16643.26,13958.8983,12626.0185,11118.3869,10985.8979,11437.1071,11805.4191,11337.2129,9431.6599,9729.238,10627.5638,10635.5899,10381.1207,10325.0886,10763.1599,10999.9635,10960.6058,11237.3037,12050.9366,11529.333,11808.8315,12116.8096,12335.4589,12143.1857,12513.792,12809.7372,13253.745,13343.8604,13431.2321,13624.65,13615.9762,13514.9105,14029.1633,13261.8646,12983.8562,12741.2078,12728.8273,11539.5731,11744.9198,11364.8482,11393.9041,11155.454,11397.4118,10674.1808,11204.9988,12918.2763,13354.7515,12198.549,11953.6812,12510.7043,12102.4926,11968.436,11820.6399,11980.8048,11704.4603,12491.1224,10963.107,11827.6671,11009.477,11424.6078,11327.4666,11631.5996,12812.3919,13199.6853,12700.378,12501.114,13680.5463,13233.6746,13401.3421,13906.9065,13781.7359,13514.0271,13848.4709,13353.6447,12576.4143,13612.4222,13876.4024,13472.493,13264.8827,13832.1269,13591.7887,13477.4065,13138.2381,12531.2308,12384.4886,12917.612,12077.567,12118.3012,11469.3537,11400.1975,12328.752,12159.1252,12791.3707,13052.0024,13207.3159,14041.0324,13304.6166,13412.9174,13849.0365
000130_上证380波动,1560.994,1967.99,2264.55,2750.714,3958.559,3703.579,3304.123,3615.767,4424.22,4509.255,3903.366,3821.596,4697.147,4190.863,4822.49,3588.757,3864.023,3650.123,2737.343,3036.093,2424.758,2288.436,1817.87,2175.512,2268.322,2485.743,2652.33,3048.234,3342.052,3385.117,3574.443,3985.442,3412.042,3767.455,4154.975,4752.028,4723.959,4770.869,5139.548,5186.416,4944.978,4535.531,4050.825,4714.449,4883.846,5101.585,5386.609,5436.977,5399.605,5209.92,5603.151,5682.914,5745.737,5302.67,5310.602,5310.186,5063.0,4551.74,4760.474,4629.701,4017.154,4064.996,4470.914,4314.692,4537.123,4505.733,4328.749,4027.552,3933.069,3884.662,3965.162,3596.166,4091.255,4293.269,4391.898,4268.622,4057.693,4407.771,3837.814,3935.877,4357.857,4675.528,4574.039,4621.529,4649.427,4496.92,4660.953,4644.743,4649.288,4598.826,4678.136,5031.839,5334.518,6121.89,6426.75,6777.893,7891.7,7633.055,8268.696,10122.35,11894.05,13654.99,11404.5026,9809.7358,8631.5066,8918.9878,9560.0778,9969.0644,9627.9694,7741.6231,7990.1961,8882.7776,9072.2782,8856.0522,8986.2807,9226.3854,9613.9851,9714.1764,9918.4815,10123.1633,9876.6577,9876.6208,10261.1595,10389.8106,10157.6146,9538.8763,10160.0406,10180.4261,10301.2618,10375.1071,10359.9414,10007.5843,10142.8066,9732.3038,9701.5897,9759.7127,9427.7583,9581.209,8497.6992,8636.328,8130.6252,8103.3275,7674.7755,8065.5131,7635.3425,7797.9586,8899.156,9906.9801,8830.4804,8809.2903,8967.2021,8631.7745,8608.2724,8482.3301,8527.8302,8306.6334,8854.3941,7837.1115,8545.4675,7989.0417,8332.7172,8619.9557,8950.3174,9884.2575,9857.9229,9360.7837,9109.2473,9699.4206,9305.8696,8948.6869,9474.0148,10054.6746,9902.3177,10105.7091,10083.578,9608.1057,10414.2506,10938.1197,10212.3981,10375.6306,11106.0346,10667.5759,10832.0162,11218.6158,10557.1458,10716.0399,10805.5372,10495.0049,10405.6994,9828.0582,9984.1861,10723.2932,10487.7374,10950.341,11237.3221,11439.3942,12173.8123,11675.5381,11541.6487,12007.5348
000135_上证180高贝,3468.282,4320.599,4816.938,5672.444,7673.081,7508.751,7164.181,8363.258,10527.103,11047.059,10156.817,9015.151,10958.971,9347.645,10509.022,7419.328,8070.271,7344.117,5342.426,5799.523,4085.267,3901.199,2802.513,3401.349,3406.378,4022.871,4292.093,5545.027,5915.966,6265.976,6848.097,8487.325,6026.175,6735.807,7216.685,7838.614,7550.046,6630.314,7078.29,7330.025,6317.054,5652.097,4989.1,6009.926,5897.149,6305.665,7654.423,6490.498,7018.42,6558.633,7093.556,7348.695,6993.836,6441.95,6700.308,6531.013,6084.726,5500.872,5596.523,5182.379,4442.336,4823.994,5434.06,5196.681,5691.59,5712.608,5072.512,4656.96,4362.581,4523.329,4533.819,3961.983,4887.887,5245.33,5077.028,4574.181,4339.042,4752.165,3762.521,3937.146,4151.091,4287.412,4089.91,4257.064,4016.866,3865.06,3783.831,3787.355,3756.962,3722.666,3741.692,4166.356,4302.17,4672.6,4740.98,5585.42,7118.154,6699.722,7322.695,8388.564,9534.658,10214.78,8733.1769,7777.3669,6664.2564,6535.8214,6990.6929,7442.9383,7075.4601,5643.9126,5745.4615,6425.667,6300.7642,6182.4598,6159.1323,6248.4768,6510.1286,6429.5713,6659.9435,7194.9961,6810.9089,6763.4604,7068.7178,7037.5492,6788.8081,6538.5789,6795.5528,7053.6295,7344.7549,7237.556,6977.9514,6746.4275,6642.0612,6816.9525,6348.8006,6127.0213,5910.3506,5708.9218,5064.4405,5119.1447,4933.4497,4864.1412,4863.6489,5049.8748,4576.1655,5023.9032,6080.6132,6596.5609,5771.1719,5718.5895,6279.8203,5876.348,5828.9283,5848.4472,5881.348,5799.0623,6731.3878,5782.5734,6494.9873,5710.8892,5999.557,6040.496,6474.9166,7622.6611,7574.5344,7391.6022,7073.228,7756.0252,7852.086,7402.2841,7404.5211,6833.8349,6692.3252,7125.4177,6916.0761,7121.1071,7390.3723,6992.9767,6994.433,6989.7389,6903.59,6285.6222,6379.95,5786.4207,5339.515,5486.7102,6262.4671,5806.0958,5540.8981,5010.8195,5109.8305,5551.355,5490.4777,6009.7182,5926.2619,5680.4712,5396.0304,5029.5827,5136.6682,5497.2622
000136_上证180低贝,3748.068,4405.404,4743.582,5474.064,7265.372,7322.742,7047.702,7759.912,9558.439,9697.785,9208.735,8482.879,10041.743,8421.107,9276.556,6827.367,7712.109,7091.404,5374.429,5874.347,4654.433,4278.968,3429.065,3837.295,4016.771,4383.882,4686.73,5455.078,5863.142,6001.519,6440.797,7378.891,5942.555,6433.311,6763.443,7336.07,7147.26,6782.024,7109.602,7171.431,6754.364,6179.885,5665.261,6517.846,6567.528,6930.943,7524.06,7292.869,7232.55,7172.431,7480.034,7272.25,7258.226,6764.959,6845.396,6701.907,6323.584,5732.372,6116.533,6014.406,5286.692,5477.419,5897.645,5563.087,5888.693,5811.32,5590.252,5393.861,5268.049,5302.802,5401.615,5068.271,5819.731,6270.874,6243.201,6150.404,6133.405,6458.136,5849.978,6027.544,6072.366,6321.655,6143.58,6222.743,6133.487,5894.116,5920.36,5731.037,5646.839,5653.581,5733.473,6045.995,6219.171,6593.1,6671.79,7197.121,8486.316,8126.056,8686.804,9808.149,11613.78,12789.74,10622.3515,9830.3378,8490.7487,8444.2134,9008.9548,9508.8358,9185.7211,7601.1798,7764.3083,8433.036,8421.3723,8227.9934,8247.7326,8550.5166,8697.1212,8629.296,8798.2359,9181.73,8904.3425,9086.6066,9248.2895,9421.4211,9317.8494,9718.6272,9859.8931,10127.0273,10175.0384,10256.421,10476.0325,10418.7548,10434.1882,10329.0344,9754.5807,10103.5574,9478.0277,9545.8571,8486.9196,8609.9304,8304.4112,8365.6103,8090.4144,8277.5834,7769.0136,7917.0228,9023.3018,9391.5618,8605.0318,8427.197,8810.5816,8595.0131,8790.1475,8577.53,8706.0225,8453.4797,9033.8271,8370.4451,9041.6569,8851.9774,9209.9099,9380.4757,9298.8753,10360.941,10670.1603,10098.1644,9835.1457,10665.5028,10388.2452,10567.1878,10725.9156,10647.4751,10605.6703,10930.1149,10612.8631,9990.3173,10790.9461,11056.1864,10737.8965,10637.4512,11081.5523,10889.7683,11022.5173,10736.76,10483.938,10560.4731,10757.483,10198.1612,10414.7023,10018.2896,9900.5908,10481.602,10229.6489,10484.6048,10636.065,10990.0819,11888.489,11293.196,11454.3153,11299.4936
000137_上证380高贝,1354.836,1796.98,2021.691,2443.807,3440.935,3165.493,2853.518,3295.047,3987.099,4039.674,3472.062,3371.943,4144.406,3587.798,4373.69,3122.818,3346.705,3228.418,2294.759,2644.03,1985.666,1840.718,1347.23,1751.002,1788.241,2127.736,2315.579,2878.272,3062.799,3241.967,3284.303,3919.971,3054.275,3323.448,3620.029,4275.451,4319.585,4131.946,4557.712,4696.214,4285.15,3817.075,3363.292,4065.011,4394.8,4738.15,5358.261,4977.004,5026.001,4732.122,5347.225,5401.388,5241.758,4770.544,4970.755,5094.237,4731.417,4105.385,4207.045,4083.054,3205.625,3400.18,3926.381,3667.955,3917.448,3901.959,3483.527,3184.865,3196.778,3208.504,3214.04,2685.553,3214.834,3501.056,3612.315,3388.876,3224.853,3698.707,3121.696,3286.082,3489.741,3699.665,3555.046,3662.267,3643.638,3670.092,3815.964,3687.985,3639.244,3653.925,3811.331,4053.391,4363.794,4865.11,4961.0,5132.783,5176.163,5458.754,5975.588,7195.213,8054.584,10403.59,8067.4119,6660.1378,5535.6156,5996.8597,6639.1433,7182.8901,6739.1168,5076.0312,5233.2298,5950.8253,5931.9741,5651.9313,5864.4506,5804.302,6112.3296,6164.497,6235.1739,6375.2957,6095.4028,5894.973,6174.5132,6141.8152,5599.2443,4963.485,5381.445,5409.0469,5617.3525,5800.6152,5596.2622,5274.9804,5237.1153,4753.6029,4819.0727,4932.606,4652.422,4545.9155,4016.8164,4119.2551,3858.5717,3648.6827,3334.8417,3584.8827,3296.8616,3401.3447,4090.1292,4747.7601,3903.3362,3992.4124,4186.1208,3952.0799,4063.8361,4023.3905,4031.6234,3924.7827,4365.264,3939.5911,4526.2765,3950.7198,4249.6799,4304.5592,4535.3449,5236.0201,5219.8927,4923.8439,4788.3799,5056.468,5188.9007,4922.3126,5049.5875,4731.7955,4777.3653,5158.2972,5253.572,5944.0621,6108.9836,5742.226,5971.8635,6460.0967,6152.1459,5556.6708,5808.6081,5194.6187,4432.9991,4855.9531,5439.2503,5772.7279,5240.71,4620.5511,4940.1305,5081.3179,4863.644,5372.2347,5272.133,5047.4027,4676.9524,4549.0517,4734.9463,4654.4189
000138_上证380低贝,1179.268,1504.388,1672.187,2005.156,2734.696,2623.349,2337.937,2615.207,3066.988,3139.16,2819.351,2622.643,3277.588,2917.599,3206.824,2352.579,2580.586,2421.425,1886.294,2056.453,1614.165,1493.121,1171.519,1397.419,1494.148,1639.271,1725.574,1975.364,2140.049,2210.233,2303.305,2538.371,2213.473,2444.556,2678.007,3068.591,3045.66,3070.122,3289.332,3298.087,3204.728,3000.171,2670.433,3109.964,3274.536,3508.177,3654.471,3734.867,3584.404,3439.043,3675.426,3615.364,3683.914,3437.903,3485.614,3465.482,3299.643,2961.039,3096.685,3022.854,2651.734,2661.808,2922.118,2778.338,2921.749,2876.8,2779.695,2608.72,2581.915,2549.519,2584.444,2317.444,2633.006,2785.861,2884.721,2835.544,2743.993,2975.296,2627.641,2675.247,2891.41,3110.658,3006.117,3031.977,3053.466,3004.932,3108.536,3048.334,3030.666,3010.357,3077.922,3292.725,3457.867,3932.92,4083.7,4300.453,4889.226,4842.862,5273.75,6406.961,7688.299,8907.485,7520.0204,6572.7638,5827.7307,5881.6376,6218.1423,6424.2813,6176.0941,4912.7877,4957.9283,5615.8049,5677.9809,5516.2064,5617.4174,5710.4522,5893.1598,5919.5623,6054.8548,6127.6706,5884.636,5818.8348,6024.5718,6134.2505,5988.8396,5697.3053,6051.3501,6044.0972,6128.2815,6182.4817,6156.3622,5938.571,6121.0354,5879.9646,5920.6232,5991.5639,5890.0315,6102.4674,5426.0143,5429.0105,5019.9625,4955.6325,4677.5978,4874.6599,4532.8546,4590.0566,5220.66,5674.2233,5081.3707,5070.8247,5254.5098,5085.5228,5148.4364,5120.8697,5132.5139,5008.5118,5314.2002,4773.4337,5103.4972,4943.2828,5220.6258,5446.7169,5694.6138,6425.2314,6453.0548,6090.4316,5963.4964,6060.3448,5820.6174,5699.4536,5835.1637,6115.4258,6054.1516,6225.8742,6051.7338,5721.087,6238.9535,6645.6509,6244.7759,6261.753,6710.1601,6427.4241,6452.5976,6791.2795,6324.027,6303.3182,6479.4765,6202.9469,6151.1634,5894.4261,5977.2711,6450.9048,6329.5383,6542.3334,6704.2226,6746.5432,7214.2152,6816.29,6681.8448,6851.062
000803_300波动,1887.189,2317.011,2572.703,3023.632,4173.925,4069.53,3885.304,4240.179,5428.575,5710.648,5430.206,4860.153,5806.802,5031.005,5447.816,4069.836,4507.413,4039.106,3090.101,3278.229,2746.644,2626.463,2109.76,2350.876,2393.555,2567.476,2715.945,3078.425,3246.187,3342.608,3613.918,4246.469,3437.924,3694.464,3898.711,4264.34,4244.798,4010.263,4213.2,4216.341,3877.912,3570.334,3301.399,3751.633,3736.264,3874.863,4210.162,3953.877,3993.964,4025.426,4184.72,4153.315,4164.072,3895.951,3897.857,3789.496,3576.641,3313.437,3536.998,3411.016,3066.723,3170.435,3406.834,3238.95,3442.042,3365.074,3185.631,3068.312,2943.894,2951.869,3012.732,2831.349,3257.443,3472.504,3411.322,3291.117,3224.746,3388.999,2921.486,2983.65,3114.525,3322.412,3302.63,3356.834,3293.988,3118.676,3148.806,3123.399,3082.025,3101.559,3109.898,3385.2,3410.145,3687.45,3853.56,4409.96,5805.13,5193.6,5537.558,6388.483,7640.422,7912.5,7039.3738,6425.2126,5720.6302,5520.4479,5760.6928,5870.092,5717.5235,4973.9812,5055.7421,5479.6241,5563.3244,5465.9775,5477.4099,5710.2821,5825.3425,5852.777,5937.3339,6272.9814,6031.8361,6147.5881,6344.7039,6557.9819,6499.1182,6738.3481,6961.3703,7181.2445,7159.0224,7242.3346,7392.5053,7357.727,7346.0771,7569.333,7231.0808,7103.8579,6996.8812,7026.1866,6303.2946,6356.2258,6111.7511,6113.2757,5987.3109,6132.811,5738.5482,6034.1485,6951.9258,7234.6582,6654.5975,6540.6433,6754.7232,6579.2445,6516.2886,6451.7285,6540.3225,6414.2275,6836.1598,5989.1061,6437.2129,5938.914,6138.4483,6085.282,6188.1654,6676.7175,6810.854,6548.6747,6471.4609,7087.4633,6774.0688,6761.0032,7073.8133,7111.1423,6907.4565,7075.9094,6845.5512,6363.6257,6810.9716,7036.2833,6792.6123,6734.0663,7095.2395,7034.9857,6939.4508,6838.6254,6553.5976,6422.466,6686.5878,6273.4082,6259.7171,5958.5721,5872.6585,6351.6674,6324.7812,6614.4444,6820.896,7050.2574,7464.8443,7131.9731,7218.2472,7451.8997
